,words,B,AB,MI
0,of,1430,12,0.97
1,happy,6,1,5.29
2,tears,5,1,5.55
3,the,2584,26,1.24
4,town,20,1,3.55
5,is,219,4,2.1
6,an,184,1,0.35
7,idyll,4,1,5.87
8,in,869,8,1.11
9,parks,1,1,7.87
10,when,127,1,0.88
11,bursley,41,2,3.51
12,mentions,1,1,7.87
13,its,54,1,2.12
14,especially,6,1,5.29
15,turnhill,8,1,4.87
16,smallest,1,1,7.87
17,and,1608,5,-0.46
18,but,328,1,-0.49
19,let,29,1,3.01
20,them,70,1,1.74
21,show,6,1,5.29
22,a,1355,6,0.05
23,whose,14,1,4.06
24,natural,5,1,5.55
25,situation,8,2,5.87
26,equals,1,2,8.87
27,equals,1,2,8.87
28,that,751,4,0.32
29,of,1430,12,0.97
30,bursley,41,2,3.51
31,s,470,4,1.0
32,you,597,1,-1.35
33,may,41,1,2.51
34,tell,48,1,2.29
35,me,165,1,0.51
36,that,751,4,0.32
37,in,869,8,1.11
38,spite,3,1,6.29
39,of,1430,12,0.97
40,the,2584,26,1.24
41,s,470,4,1.0
42,vaunted,1,1,7.87
43,situation,8,2,5.87
44,nothing,60,1,1.96
45,before,45,3,3.96
46,the,2584,26,1.24
47,days,21,2,4.48
48,of,1430,12,0.97
49,the,2584,26,1.24
50,lovers,2,1,6.87
51,had,661,2,-0.5
52,no,187,1,0.32
53,place,14,1,4.06
54,before,45,3,3.96
55,the,2584,26,1.24
56,days,21,2,4.48
57,of,1430,12,0.97
58,the,2584,26,1.24
59,that,751,4,0.32
60,is,219,4,2.1
61,the,2584,26,1.24
62,sufficient,6,1,5.29
63,to,1337,2,-1.51
64,any,51,1,2.2
65,criticism,1,1,7.87
66,of,1430,12,0.97
67,the,2584,26,1.24
68,the,2584,26,1.24
69,highest,4,2,6.87
70,terrace,7,3,6.65
71,of,1430,12,0.97
72,the,2584,26,1.24
73,highest,4,2,6.87
74,terrace,7,3,6.65
75,of,1430,12,0.97
76,the,2584,26,1.24
77,is,219,4,2.1
78,a,1355,6,0.05
79,splendid,5,1,5.55
80,expanse,1,1,7.87
81,choice,3,1,6.29
82,of,1430,12,0.97
83,benches,1,1,7.87
84,in,869,8,1.11
85,a,1355,6,0.05
86,he,1259,1,-2.43
87,will,58,1,2.01
88,always,37,1,2.66
89,select,1,1,7.87
90,not,396,1,-0.76
91,excite,1,1,7.87
92,attention,5,1,5.55
93,throughout,3,1,6.29
94,the,2584,26,1.24
95,then,152,1,0.62
96,she,789,1,-1.75
97,had,661,2,-0.5
98,the,2584,26,1.24
99,before,45,3,3.96
100,the,2584,26,1.24
101,scene,9,1,4.7
102,on,353,1,-0.59
103,the,2584,26,1.24
104,terrace,7,3,6.65
105,mrs,188,1,0.32
106,rathbone,20,1,3.55
107,and,1608,5,-0.46
108,s,470,4,1.0
109,was,903,1,-1.95
110,now,79,1,1.57
111,sharing,1,1,7.87
112,the,2584,26,1.24
113,bench,9,1,4.7
114,with,407,3,0.79
115,him,348,3,1.01
116,hence,2,1,6.87
117,i,825,2,-0.82
118,m,91,1,1.36
119,teaching,4,1,5.87
120,at,370,4,1.34
121,the,2584,26,1.24
122,road,26,5,5.49
123,board,5,1,5.55
124,school,17,1,3.78
125,i,825,2,-0.82
126,the,2584,26,1.24
127,eastern,1,1,7.87
128,gates,3,1,6.29
129,of,1430,12,0.97
130,the,2584,26,1.24
131,what,208,1,0.17
132,dost,5,1,5.55
133,teach,6,1,5.29
134,oh,47,1,2.32
135,her,546,2,-0.22
136,crushing,2,1,6.87
137,him,348,3,1.01
138,in,869,8,1.11
139,the,2584,26,1.24
140,and,1608,5,-0.46
141,the,2584,26,1.24
142,peril,2,1,6.87
143,of,1430,12,0.97
144,there,167,1,0.49
145,s,470,4,1.0
146,one,167,1,0.49
147,up,98,1,1.26
148,at,370,4,1.34
149,road,26,5,5.49
150,above,11,2,5.41
151,th,34,2,3.78
152,at,370,4,1.34
153,road,26,5,5.49
154,above,11,2,5.41
155,th,34,2,3.78
156,semi,5,2,6.55
157,detached,5,2,6.55
158,at,370,4,1.34
159,least,19,1,3.62
160,in,869,8,1.11
161,a,1355,6,0.05
162,poky,3,1,6.29
163,house,73,1,1.68
164,in,869,8,1.11
165,road,26,5,5.49
166,the,2584,26,1.24
167,very,90,1,1.38
168,street,10,1,4.55
169,wilbraham,51,2,3.2
170,water,17,1,3.78
171,which,168,1,0.48
172,diversified,1,1,7.87
173,the,2584,26,1.24
174,like,116,1,1.01
175,splendours,1,1,7.87
176,of,1430,12,0.97
177,wilbraham,51,2,3.2
178,and,1608,5,-0.46
179,her,546,2,-0.22
180,sunshade,5,1,5.55
181,in,869,8,1.11
182,the,2584,26,1.24
183,that,751,4,0.32
184,is,219,4,2.1
185,to,1337,2,-1.51
186,say,59,1,1.99
187,and,1608,5,-0.46
188,immediately,4,1,5.87
189,behind,20,1,3.55
190,him,348,3,1.01
191,the,2584,26,1.24
192,with,407,3,0.79
193,the,2584,26,1.24
194,bowling,15,1,3.96
195,green,16,1,3.87
196,a,1355,6,0.05
197,semi,5,2,6.55
198,detached,5,2,6.55
199,villa,1,1,7.87
200,in,869,8,1.11
201,road,26,5,5.49
202,with,407,3,0.79
203,a,1355,6,0.05
